Salary,HouseRent,Medical Bills,Recharges,Food,Cigg or Alcohol,Shopping,Others,Savings
88000,0,7787,251,5925,362,9119,1244,63312
64000,7000,6006,734,5057,962,2906,766,40569
53000,7000,1119,200,5530,8616,4842,191,25502
46000,7000,5001,887,2181,2912,6051,1794,20174
42000,5000,7606,467,4536,109,7832,4983,11467
109000,5000,3473,804,8667,1139,5736,2618,81563
98000,5000,5131,161,4600,2977,6902,315,72914
41000,0,7844,678,4628,1904,3983,259,21704
25000,0,4108,749,8282,926,3064,818,7053
62000,7000,8035,635,8046,497,8769,2024,26994
20000,9000,8414,765,3472,443,7608,3487,-13189
19000,9000,4037,898,3259,0,7291,1035,-6520
30000,0,9968,772,9742,5744,9417,3456,-9099
69000,9000,7981,408,9532,4204,2058,130,35687
25000,5000,4914,859,9097,3113,7111,811,-5905
34000,5000,4176,349,8451,1273,9483,1866,3402
91000,0,6346,651,2915,7249,2736,2908,68195
40000,5000,8333,313,2530,663,4899,6,18256
23000,5000,7267,597,9368,5114,6928,2167,-13441
37000,0,226,396,5003,2321,3369,2917,22768
40000,9000,9422,839,3925,6391,9084,3141,-1802
107000,7000,6593,928,9479,1346,8697,1356,71601
31000,0,947,684,8716,0,5896,3724,11033
84000,3000,3163,696,3836,0,7017,4808,61480
97000,3000,5524,336,5874,4700,5960,3590,68016
90000,3000,5542,490,8287,684,7656,4671,59670
49000,7000,7698,859,4063,9146,4530,2650,13054
100000,3000,2293,370,4767,2277,7403,2557,77333
72000,7000,8957,182,2548,0,5634,979,46700
50000,9000,8973,168,7279,837,9169,2033,12541
55000,3000,657,618,8190,3668,5406,4144,29317
54000,5000,2238,218,7015,3927,5131,1745,28726
51000,9000,5830,939,5516,7607,2050,4791,15267
52000,9000,331,563,6694,90,3590,3289,28443
28000,0,1686,709,5491,1431,6403,1048,11232
22000,3000,229,897,4979,4615,5128,2318,834
36000,9000,8536,165,5644,9228,9878,987,-7438
41000,0,9875,723,7411,989,6074,4027,11901
58000,9000,9818,546,7542,1646,8191,2990,18267
42000,0,1759,169,6745,1093,2964,1732,27538
22000,5000,3507,861,2230,0,7020,241,3141
86000,0,3199,250,6786,8033,6984,371,60377
39000,9000,3546,585,9489,1825,8188,3880,2487
57000,3000,8131,206,2900,520,7516,4677,30050
87000,5000,5454,551,7818,572,3656,3794,60155
85000,0,2065,655,7771,0,9657,2459,62393
102000,9000,6272,162,6924,3069,8327,4726,63520
75000,0,2681,784,2622,754,3131,3093,61935
64000,0,9150,976,8049,1421,3342,1724,39338
57000,0,9522,441,2260,2109,2681,3090,36897
98000,0,9540,371,9817,9850,3517,2342,62563
18000,5000,9682,915,4176,812,8842,4332,-15759
82000,7000,6605,783,9375,9858,4753,3267,40359
51000,0,7578,342,5478,5487,5020,196,26899
61000,0,2743,490,7540,1369,5083,4614,39161
55000,0,3836,699,8426,263,8644,4351,28781
42000,5000,4727,588,7016,0,3517,3738,17414
83000,7000,1155,503,4350,0,8323,4091,57578
44000,3000,2427,571,6618,279,5065,3705,22335
45000,5000,1415,517,2754,2894,8403,2368,21649
58000,7000,8485,279,9431,5212,8722,1856,17015
93000,5000,1186,464,2097,0,3760,877,79616
47000,7000,1753,418,3040,8349,6259,2017,18164
38000,5000,3225,414,4392,0,8510,4200,12259
81000,9000,9076,991,5556,212,9331,3262,43572
33000,3000,8909,477,9388,0,9956,292,978
94000,0,6184,616,4305,959,4188,246,77502
70000,0,1621,440,6277,0,2238,2747,56677
58000,9000,6161,170,9554,0,7903,2005,23207
99000,7000,9175,499,2870,9948,3897,2341,63270
32000,7000,1565,569,2110,0,5424,3844,11488
44000,0,1374,748,4592,0,7495,1836,27955
95000,9000,1067,480,4326,498,2674,2695,74260
54000,7000,9454,868,9571,3041,9616,4584,9866
30000,9000,2628,864,5172,3946,3419,1219,3752
41000,0,8535,922,6918,7270,5348,2235,9772
65000,7000,6899,336,2986,3289,4923,4182,35385
25000,3000,4905,836,3974,7885,2827,4697,-3124
31000,5000,3633,704,4441,6484,6557,4766,-585
40000,0,88,452,9910,0,8322,4605,16623
20000,5000,3270,812,8662,995,3967,1605,-4311
36000,7000,7596,760,2651,254,3934,974,12831
76000,9000,2473,819,4884,7755,7996,2593,40480
23000,5000,3310,830,9934,0,8314,1856,-6244
72000,5000,9570,857,4053,2994,3182,97,46247
96000,7000,6076,616,8973,5019,5715,1746,60855
70000,9000,1943,168,3528,6937,9370,2057,36997
53000,5000,8698,791,5446,0,4510,460,28095
106000,3000,829,889,7183,636,9957,4220,79286
65000,5000,3707,298,8898,82,2091,3624,41300
42000,7000,1695,367,9450,3022,7870,846,11750
90000,0,5963,565,6020,50,8278,2134,66990
23000,3000,2084,195,8248,4788,5793,2762,-3870
18000,0,5408,613,5917,994,6247,4554,-5733
39000,0,3047,414,6937,994,3463,2009,22136
29000,9000,563,811,4715,832,5005,94,7980
59000,3000,4795,990,5281,94,3803,2917,38120
85000,3000,1644,694,7086,7033,5644,4150,55749
47000,9000,4003,270,8949,634,2284,150,21710
76000,3000,3398,966,4818,520,6094,2564,54640
89000,0,1425,854,8516,248,9703,3987,64267
60000,0,2865,281,5495,6853,7245,4055,33206
93000,7000,172,370,7552,1919,6246,1662,68079
46000,7000,5560,858,5210,9920,2449,3585,11418
74000,7000,9707,801,7091,1142,4792,4200,39267
38000,3000,2698,846,7970,5880,5652,3009,8945
75000,7000,8428,171,5771,0,4694,3228,45708
37000,3000,8909,737,5177,3783,3109,514,11771
48000,3000,8754,575,3449,1659,8836,765,20962
49000,3000,550,933,8121,2715,5378,4008,24295
96000,9000,9528,233,6314,0,7523,4909,58493
56000,0,3619,349,3033,817,7709,1007,39466
50000,5000,1544,225,7636,507,4078,1821,29189
29000,0,5102,693,5084,7142,8393,2262,324
98000,3000,6750,265,5118,2695,2151,4774,73247
103000,3000,4079,681,8776,0,7943,763,77758
41000,5000,5675,465,4545,6523,6353,1563,10876
95000,5000,3211,734,2153,3907,5367,4016,70612
101000,3000,8905,227,9845,5854,9245,3117,60807
47000,0,286,284,5902,0,5547,2910,32071
77000,5000,4278,483,8156,3715,7915,1806,45647
109000,5000,4163,688,4439,96,9829,3352,81433
80000,3000,1724,480,4088,1640,7647,3075,58346
22000,3000,1934,170,6077,5413,2786,183,2437
93000,9000,9660,561,8951,2268,9185,2755,50620
76000,9000,3759,442,8785,8684,4717,4887,35726
35000,9000,2356,621,9651,7221,8472,88,-2409
21000,0,6399,484,5082,3782,7401,3043,-5191
24000,3000,3127,589,8688,1994,2660,39,3903
29000,5000,6300,636,2639,50,9701,1143,3531
52000,0,5403,515,9558,0,6597,2757,27170
58000,3000,9550,976,4953,0,6396,930,32195
90000,0,3281,848,9100,0,8478,2076,66217
77000,9000,6411,378,6347,0,6949,4925,42990
40000,7000,2801,864,5754,690,4594,4122,14175
92000,0,8407,606,2774,4211,3367,3362,69273
63000,7000,8427,800,4943,4501,6128,3767,27434
74000,5000,897,870,2107,535,5193,2987,56411
31000,7000,2770,260,4779,3029,5220,1396,6546
77000,7000,1095,609,7839,0,7237,1777,51443
40000,7000,6151,526,8293,9842,6715,3450,-1977
96000,5000,5127,830,7392,898,6457,3601,66695
33000,0,4738,553,8806,4819,2037,1036,11011
68000,7000,3336,315,6197,71,6218,721,44142
24000,9000,370,569,8321,2388,7494,2232,-6374
61000,3000,4350,792,6750,0,3358,3244,39506
82000,7000,8800,203,4247,7861,9568,2708,41613
44000,5000,5556,896,3936,6971,8729,1325,11587
79000,0,4923,408,3130,5056,6938,3897,54648
106000,0,1847,906,6576,7625,3351,2728,82967
35000,5000,8390,864,7279,1341,7457,1003,3666
48000,0,9920,663,8611,0,9436,1731,17639
38000,9000,2901,629,8997,0,5317,3522,7634
26000,0,3654,885,5559,9429,5969,2578,-2074
37000,3000,7427,430,3807,0,9843,3598,8895
53000,5000,874,657,4969,1929,5478,1218,32875
16000,9000,7995,203,7723,596,4628,1568,-15713
41000,5000,1311,868,8874,0,4022,126,20799
83000,3000,1113,754,7988,0,7679,2599,59867
61000,0,9992,688,4769,9431,3447,460,32213
23000,9000,8919,787,6970,2999,5664,482,-11821
42000,9000,5731,509,6154,5979,5308,217,9102
108000,0,6232,817,8170,5019,6081,195,81486
102000,7000,8122,515,4231,4036,5078,4934,68084
24000,3000,5671,208,8583,357,9217,2052,-5088
72000,7000,7695,413,6715,659,2817,543,46158
83000,3000,4972,798,7791,825,2400,2629,60585
37000,0,3524,873,4479,0,8672,1176,18276
100000,9000,152,493,9449,842,5156,3810,71098
47000,9000,2951,983,4255,0,2281,2065,25465
14000,0,663,215,5993,5137,6059,769,-4836
45000,0,2603,237,4544,0,2267,938,34411
96000,0,3702,293,9298,3207,4290,4371,70839
103000,7000,7667,654,6095,9049,6446,1281,64808
54000,9000,1886,709,6916,427,2803,1523,30736
100000,7000,55,672,2097,3740,2465,1349,82622
78000,9000,8980,494,8839,8948,5147,931,35661
64000,7000,5103,712,5200,2881,5497,1820,35787
83000,5000,2008,770,8783,0,2198,3146,61095
23000,7000,6878,194,7257,0,4240,3824,-6393
32000,9000,1296,701,4262,397,6060,4657,5627
108000,9000,828,760,9381,515,8273,1279,77964
94000,7000,4275,469,6111,41,4494,2500,69110
17000,9000,8413,907,7764,0,8377,2470,-19931
47000,0,7358,798,4999,0,3578,3595,26672
32000,9000,183,761,9066,0,8629,1858,2503
71000,3000,198,464,8272,282,7281,4009,47494
82000,7000,7765,954,2484,0,9775,185,53837
92000,3000,8070,901,2700,98,8883,1334,67014
27000,5000,5908,687,7076,0,3912,3737,680
18000,7000,717,562,7774,6824,6373,2846,-14096
43000,7000,9459,159,3556,6495,2435,2328,11568
46000,7000,277,923,5801,2853,4057,4707,20382
68000,0,1138,724,7095,775,6370,3841,48057
93000,0,611,395,6556,719,3781,3689,77249
28000,7000,2127,439,7084,201,4297,2907,3945
37000,7000,6841,456,9634,0,2998,964,9107
57000,5000,2442,163,9706,4374,7841,2277,25197
32000,0,8264,514,6311,4486,9920,4772,-2267
88000,7000,8965,873,2154,584,7011,1989,59424
63000,9000,2574,719,3542,3069,7492,4535,32069
84000,5000,8924,385,6961,729,6394,1387,54220
55000,7000,4044,548,5013,8535,2159,2141,25560
86000,9000,4017,433,7412,2374,3078,4705,54981
72000,9000,4064,389,5999,0,3362,3412,45774
65000,3000,7787,302,4568,0,4185,2971,42187
31000,7000,4434,663,2355,4806,7683,297,3762
19000,3000,1674,621,3232,0,3443,2166,4864
87000,0,6468,423,8278,5954,9468,1557,54852
78000,3000,7567,170,8616,6121,6595,3409,42522
26000,3000,2177,935,2437,8757,6029,534,2131
41000,0,3810,968,8689,4286,3602,313,19332
66000,9000,857,292,3407,3060,2023,1480,45881
64000,9000,8043,995,2990,0,4013,3284,35675
70000,9000,9352,851,7450,0,2603,2841,37903
56000,0,3088,352,2906,417,2258,3780,43199
22000,5000,5951,832,3238,834,4010,1307,828
24000,5000,3102,599,7199,8685,3403,1894,-5882
97000,9000,5064,496,9667,3275,7382,4362,57754
35000,3000,939,725,7534,2989,2447,2388,14978
72000,7000,9636,738,6869,0,5631,4030,38096
50000,5000,9722,327,8222,2210,9083,2398,13038
108000,7000,7798,374,6623,0,5145,4319,76741
35000,0,5579,522,4429,0,6786,2291,15393
30000,5000,7457,189,3926,0,9060,3176,1192
54000,7000,3398,930,7686,0,7795,2881,24310
108000,7000,7717,329,7331,0,4259,1083,80281
107000,9000,8669,772,9610,0,8695,391,69863
76000,9000,6359,519,8945,885,3668,2384,44240
45000,5000,593,527,8648,1508,9162,1607,17955
105000,3000,220,613,3866,0,8283,1397,87621
57000,3000,4069,334,9870,4286,7089,4000,24352
36000,7000,9060,285,3597,119,2477,4268,9194
85000,3000,6080,717,7381,2068,2741,4540,58473
93000,9000,9381,415,8477,773,8177,4739,52038
42000,5000,5234,694,9609,254,3770,4762,12677
26000,0,7022,663,8900,818,4780,3307,510
24000,9000,26,225,3682,3727,6358,4693,-3711
108000,5000,7972,871,5011,7567,9061,4927,67591
23000,5000,7616,786,7063,0,8867,3293,-9625
98000,3000,2747,212,9381,124,3390,1827,77319
22000,5000,328,905,2719,0,2845,1615,8588
98000,5000,3010,266,3893,0,6028,3890,75913
61000,9000,6887,379,4718,8138,2403,77,29398
75000,3000,8694,793,4653,8665,6173,4189,38833
21000,3000,9006,619,6157,3634,6179,900,-8495
51000,3000,8641,625,3985,8312,5876,1172,19389
15000,5000,2794,912,5252,0,6172,4095,-9225
91000,7000,5882,712,6027,0,8480,4734,58165
23000,9000,6567,546,6024,0,7170,1007,-7314
32000,9000,9633,596,6320,7790,9571,327,-11237
81000,5000,8940,274,3650,5011,5966,421,51738
84000,7000,9741,833,2143,461,8246,2605,52971
75000,5000,5132,472,3424,5664,8022,3179,44107
93000,5000,1391,810,4627,0,6477,433,74262
45000,9000,1577,892,2152,3692,8938,466,18283
72000,3000,8341,271,6973,0,6550,4545,42320
82000,5000,8193,238,8625,1853,3227,3016,51848
53000,7000,967,900,2184,5011,4340,4454,28144
46000,9000,921,725,5990,2544,8339,3687,14794
25000,3000,7605,214,8999,690,2361,2240,-109
78000,0,8960,477,2158,8717,9060,3682,44946
45000,3000,4860,449,6743,0,5774,459,23715
30000,7000,7099,787,6646,6053,9676,4976,-12237
30000,9000,4064,954,9014,6684,6593,4221,-10530
21000,5000,9634,921,3698,3265,6736,4515,-12769
41000,5000,7805,698,2249,5454,6734,2151,10909
19000,0,51,904,5943,0,7502,3697,903
43000,9000,4892,646,9078,6112,9966,677,2629
35000,7000,3302,864,6259,3849,5213,829,7684
91000,3000,2206,568,7736,4375,5828,612,66675
69000,9000,3114,200,2307,189,7251,777,46162
67000,0,9424,421,6703,6609,6850,4586,32407
65000,5000,19,535,4035,0,4956,4619,45836
69000,0,1200,476,7143,5347,8155,3336,43343
27000,5000,7867,196,2552,1533,3707,3014,3131
109000,0,8208,275,4982,2890,8008,2859,81778
21000,7000,8795,820,6893,578,6075,1842,-11003
54000,3000,6543,595,5598,5611,5998,185,26470
78000,9000,7144,604,5119,629,6782,4626,44096
80000,7000,2646,703,9676,518,4574,1026,53857
16000,3000,5739,301,7304,151,8279,2173,-10947
25000,7000,2171,757,3682,0,8702,4267,-1579
83000,3000,9890,993,5481,0,5618,4167,53851
84000,5000,1829,534,6438,7896,9168,2553,50582
96000,5000,7021,498,4907,2092,8145,1571,66766
83000,7000,6840,335,2422,8796,7915,3878,45814
30000,5000,2481,366,9251,3747,2176,612,6367
43000,3000,8861,361,3422,360,6083,1414,19499
73000,3000,2829,775,9775,7803,5982,2254,40582
38000,3000,1727,525,5385,9709,2017,3451,12186
106000,5000,8650,560,7200,3663,7066,734,73127
103000,5000,8762,488,4636,852,9149,3329,70784
23000,0,624,254,2224,885,3154,3888,11971
46000,7000,5944,323,9233,1859,2440,2168,17033
90000,7000,1252,970,8746,5065,3133,4420,59414
89000,5000,5008,425,9732,0,3152,4146,61537
27000,7000,8319,244,5537,850,9194,2348,-6492
76000,0,1484,708,5210,205,5810,3751,58832
18000,0,3615,355,7357,0,2626,1653,2394
40000,9000,865,523,3205,0,5743,1113,19551
20000,0,453,925,4512,9601,5059,2795,-3345
101000,7000,7540,623,4892,3015,6723,3720,67487
17000,5000,4236,216,7970,403,3952,3222,-7999
102000,7000,9205,529,6086,0,4464,88,74628
100000,0,2184,895,9373,3444,7245,1631,75228
27000,9000,3864,740,7315,430,5514,2502,-2365
75000,3000,7394,248,9208,8966,2178,4239,39767
109000,7000,2990,724,2621,2189,8949,4308,80219
90000,7000,6641,194,5135,0,5535,3526,61969
54000,3000,919,300,5837,0,3789,1203,38952
100000,7000,3602,294,8501,705,6206,3335,70357
73000,5000,1000,784,8722,393,6639,3923,46539
38000,5000,207,656,2126,6067,4059,3753,16132
37000,0,5447,959,6936,5041,2534,3560,12523
78000,3000,7590,367,8786,7662,2431,2660,45504
14000,7000,6226,940,6379,485,4452,941,-12423
30000,7000,7488,719,3671,4892,6491,1684,-1945
104000,0,1917,968,3621,453,8546,1702,86793
32000,9000,1936,209,3547,82,7062,1410,8754
54000,7000,8313,833,6380,3935,8643,980,17916
102000,7000,165,894,4581,932,6942,840,80646
108000,9000,1929,158,5906,8791,5294,2678,74244
29000,5000,443,699,4941,477,2922,253,14265
52000,7000,1659,451,6323,7326,5184,3374,20683
34000,9000,4256,742,7060,1044,5211,1649,5038
51000,5000,9607,199,4484,1984,5699,3214,20813
84000,9000,2107,793,2946,6126,4260,4525,54243
57000,5000,768,629,8587,0,9817,1308,30891
49000,5000,1901,447,9388,956,2400,4835,24073
53000,0,7825,536,7258,0,5673,3644,28064
78000,5000,7852,903,8989,2727,3150,78,49301
60000,5000,312,510,5230,0,2966,2353,43629
34000,0,3008,900,7929,1309,9722,3919,7213
68000,5000,7329,805,8242,4035,7523,1142,33924
41000,0,7029,577,5329,304,8273,1181,18307
22000,3000,6983,756,5956,1683,9602,2162,-8142
101000,9000,8745,449,8124,0,5946,1040,67696
76000,5000,217,542,6908,1650,8779,4685,48219
26000,5000,4834,889,5909,8446,3926,2182,-5186
73000,3000,1277,336,3938,189,3582,754,59924
31000,7000,5703,365,9408,3308,9055,1081,-4920
32000,9000,4931,232,9475,1008,8391,31,-1068
87000,3000,813,404,6024,9310,4561,3786,59102
51000,7000,9184,415,5019,808,3057,3973,21544
97000,9000,1839,482,6620,6189,9595,4700,58575
32000,7000,4604,975,6521,6013,8619,4640,-6372
107000,7000,2810,347,2245,0,4120,3072,87406
14000,9000,8878,652,8553,0,7292,4773,-25148
103000,0,4285,687,6231,204,9442,3847,78304
60000,5000,6189,546,7485,1310,3637,2312,33521
54000,7000,9717,305,4004,0,4156,2050,26768
68000,5000,4847,511,4351,2485,4605,137,46064
42000,3000,6013,753,6872,4432,5542,380,15008
82000,3000,8362,162,5952,0,3983,2748,57793
55000,7000,3642,847,5195,2548,4755,503,30510
29000,9000,2971,195,9018,0,3339,4413,64
61000,3000,4843,247,5698,2903,3422,2374,38513
58000,9000,4629,617,5645,0,7354,1240,29515
65000,3000,7752,704,8711,0,9170,1895,33768
97000,5000,2213,781,8686,6000,3519,2032,68769
79000,7000,5192,810,2028,0,6262,4930,52778
101000,5000,3239,858,4946,113,3061,316,83467
104000,0,9914,277,8359,973,3082,1519,79876
84000,9000,7632,861,6618,25,2689,2524,54651
47000,7000,8920,581,8705,6247,5450,3761,6336
91000,5000,52,686,6941,0,4691,4821,68809
40000,3000,2699,491,4250,7228,6543,2676,13113
68000,9000,6018,397,3162,2633,9039,2142,35609
32000,3000,8156,791,9325,1531,2794,2519,3884
107000,7000,5047,948,4328,0,5219,3664,80794
50000,0,8684,949,7547,2607,5093,1044,24076
33000,0,5043,303,5065,3990,4104,3716,10779
84000,7000,1449,369,7181,3872,9017,392,54720
31000,9000,3643,766,2135,0,3779,529,11148
76000,9000,8754,852,6586,3822,5834,3852,37300
36000,5000,5160,296,3266,9055,6179,4187,2857
16000,7000,4107,422,6913,84,3724,277,-6527
81000,5000,8725,241,7410,3092,7181,3644,45707
26000,0,6592,444,9441,0,8577,2172,-1226
20000,0,5922,889,5086,7245,4588,452,-4182
86000,5000,3712,195,7301,71,8504,3148,58069
70000,9000,6866,881,9893,4145,3162,4779,31274
43000,9000,7716,330,7346,0,9981,2204,6423
56000,7000,5656,864,3985,716,6487,126,31166
97000,0,2011,170,4437,495,3178,2761,83948
77000,0,5531,632,2713,7486,8770,3286,48582
52000,0,9190,805,9142,17,4484,3332,25030
66000,9000,3306,208,4482,620,6137,1033,41214
56000,9000,5939,731,5115,363,4033,1740,29079
58000,7000,9081,480,2398,499,2684,4537,31321
70000,9000,8088,604,2796,3450,7633,64,38365
15000,5000,200,369,4120,0,2228,3070,13
86000,7000,8872,219,3021,1258,4428,1711,59491
90000,0,1075,909,6753,8950,6281,544,65488
109000,0,168,205,2252,3702,8012,4487,90174
54000,0,5451,719,8963,209,2145,1175,35338
109000,9000,6218,990,9093,0,7602,4720,71377
107000,5000,4484,920,6994,852,2242,4928,81580
52000,0,4358,985,4883,7260,8060,4004,22450
23000,5000,3536,622,5984,7081,2110,1208,-2541
70000,3000,2258,164,4243,3413,5186,2806,48930
36000,0,4331,740,9063,9169,6624,431,5642
17000,9000,7849,281,5828,0,6773,2140,-14871
84000,0,4262,987,8254,0,3690,3377,63430
33000,9000,3310,838,2669,0,5698,1601,9884
43000,9000,456,414,3911,0,4755,2378,22086
36000,5000,2918,416,7366,9482,5907,1212,3699
55000,9000,832,910,4587,0,4938,3806,30927
54000,7000,6679,551,9877,9936,3996,1317,14644
90000,3000,9459,716,9322,890,2854,3567,60192
110000,3000,5712,814,8352,100,4179,806,87037
21000,3000,7205,414,7702,102,8846,2061,-8330
36000,0,2403,203,6181,3209,5535,3333,15136
79000,7000,8621,531,2011,0,9869,2409,48559
80000,7000,1345,279,2055,0,3782,672,64867
101000,3000,9991,757,5982,3361,8097,1415,68397
97000,3000,9675,970,5766,8960,5314,729,62586
46000,9000,7772,831,3925,0,2505,2316,19651
100000,5000,2843,714,3712,1461,4792,1332,80146
23000,3000,3566,809,6102,2980,5224,2955,-1636
89000,0,4714,393,7356,0,2159,3116,71262
15000,3000,8336,639,5698,0,3323,2551,-8547
50000,0,9113,669,8701,5679,8654,2059,15125
58000,5000,5030,827,2735,0,4619,1779,38010
54000,9000,1467,796,8680,9093,2175,1419,21370
108000,9000,7763,574,2485,2881,7331,277,77689
